,Processor,Screen Size(inch),RAM(GB),Graphics Card,price EG,brand,SSD(GB),HDD(GB),Normal,link,OS,store
50,AMD Ryzen 5 3500U,15.6,4,amd ryzen 5 3500u,9588.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-ideapad-l340-15api-laptop-amd-ryzen-5-3500u-15-6-inch-hd-1tb-4gb-ram-amd-radeon-vega-8-dos-52048,1,rayashop
52,Intel Core i3-1005G1,15.0,4,intel gpu,9499.0,Dell,0,128,1,https://www.rayashop.com/en/dell-inspiron-15-3593-laptop-intel-core-i3-1005g1-15-6-inch-hd-128gb-4gb-ram-intel-gpu-win10-black,2,rayashop
53,AMD Ryzen 7 3700U,15.6,8,amd ryzen 7 3700u,11899.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-ideapad-l340-15api-laptop-amd-ryzen-7-3700u-15-6-inch-hd-1tb-8gb-ram-amd-radeon-vega-8-graphics-dos-raya,1,rayashop
54,Intel Core I7-10750H,15.6,8,nvidia geforce gtx 1650ti 4gb,23599.0,Dell,0,256,1,https://www.rayashop.com/en/dell-g5-5500-laptop-intel-core-i7-10750h-15-6-inch-fhd-256gb-8gb-ram-nvidia-geforce-gtx-1650ti-4gb-win10,2,rayashop
55,Intel Core i3-1005G1,15.6,4,intel graphics uhd 620,8999.0,HP,0,1000,1,https://www.rayashop.com/en/hp-15-da3002ne-laptop-intel-core-i3-1005g1-15-6-hd-1tb-4gb-ram-intel-graphics-uhd-620-dos-r400,1,rayashop
56,AMD R3 3200U,15.0,4,amd r3 3200u,7520.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-ideapad-l340-amd-r3-3200u-15-6-hd-1tb-4gb-amd-vega-3-dos-grey-r401,1,rayashop
57,AMD Ryzen 7 4800H,15.6,8,amd ryzen 7 4800h,24999.0,Dell,0,512,0,https://www.rayashop.com/en/dell-g5-5505-gaming-laptop-amd-ryzen-7-4800h-15-6-inch-fhd-512gb-8gb-ram-amd-rx5600m-6gb-win10-56906,2,rayashop
58,Intel Core i3-1005G1,15.6,4,intel uhd graphics,8699.0,Dell,0,1000,1,https://www.rayashop.com/en/dell-vostro-3501-laptop-intel-core-i3-1005g1-15-6-inch-hd-1tb-4gb-ram-intel-uhd-graphics-ubuntu-black-raya,1,rayashop
60,Intel Core i5-1135G7,15.0,4,nvidia 2g mx350,11770.0,HP,0,256,1,https://www.rayashop.com/en/hp-15-dw3021nia-laptop-intel-core-i5-1135g7-15-6-inch-hd-256gb-4gb-ram-nvidia-2g-mx350-dos-r448,1,rayashop
61,Intel Core CI5-10510U,15.6,8,nvidia mx250 2gb,14999.0,HP,0,1000,1,https://www.rayashop.com/en/hp-probook-450-g7-notebook-intel-core-ci5-10510u-15-6-inch-hd-1tb-8gb-ram-nvidia-mx250-2gb-dos-silver,1,rayashop
62,Intel Core I5-10210U,14.0,4,amd radeon vga 2g r530,11333.0,HP,0,1000,1,https://www.rayashop.com/en/hp-14-cf2224nia-laptop-intel-core-i5-10210u-14-inch-hd-1tb-4gb-ram-amd-radeon-vga-2g-r530-dos-black,1,rayashop
64,Intel Core i7-11800H,15.6,16,nvidia 6gb rtx 3060,27990.0,Dell,0,512,1,https://www.rayashop.com/en/dell-5511-g15-e0004-laptop-intel-core-i7-11800h-15-6-inch-fhd-512gb-16gb-ram-nvidia-6gb-rtx-3060-ubuntu-grey,1,rayashop
65,Intel Core I5-1135G7,15.6,4,nvidia 2gb mx350,12990.0,Dell,0,1000,1,https://www.rayashop.com/en/dell-vostro-3510-laptop-intel-core-i5-1135g7-15-6-inch-fhd-1tb-hdd-4gb-ram-nvidia-2gb-mx350-ubuntu-black,1,rayashop
66,Intel Core I3-1115G4,15.6,4,intel graphics uhd,9150.0,Dell,0,1000,1,https://www.rayashop.com/en/dell-vostro-3500-laptop-intel-core-i3-1115g4-15-6-inch-hd-1tb-hdd-4gb-ram-intel-graphics-uhd-ubuntu-black,1,rayashop
67,Intel Core i7-1165G7,15.6,8,nvidia geforce mx330 2gb,15500.0,Dell,0,1000,1,https://www.rayashop.com/en/dell-vostro-3500-laptop-intel-core-i7-1165g7-15-6-inch-full-hd-1tb-hdd-8gb-ram-nvidia-geforce-mx330-2gb-dos-black,1,rayashop
68,Intel Core i5-10210U,15.0,4,2g nvidia mx130,13000.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-ideapad-l3-15iml05-laptop-intel-core-i5-10210u-15-6-inch-fhd-1tb-hdd-4gb-ram-2g-nvidia-mx130-dos-100,1,rayashop
70,Intel Core i3-10110U,14.0,4,vga intel integrated,8690.0,Dell,0,1000,1,https://www.rayashop.com/en/dell-latitude-3410-laptop-intel-core-i3-10110u-14-inch-hd-1tb-hdd-4gb-ram-vga-intel-integrated-ubuntu-dark-grey,1,rayashop
71,Intel Core i5-1135G7,15.6,8,nvidia geforce mx350 2gb gddr5,13666.0,Lenovo,0,1000,1,https://www.rayashop.com/en/lenovo-ideapad-3-15itl6-laptop-intel-core-i5-1135g7-15-6-inch-fhd-1tb-hdd-8gb-ram-nvidia-geforce-mx350-2gb-gddr5-dos-silver,1,rayashop
