,Processor,Graphics Card,Screen Size(inch),RAM(GB),SSD(GB),link,OS,HDD(GB),brand,Normal,price EG,store
690,Pro 4650U,ryzen 5 pro 4650u(beat ,14,16.0,512,https://www.ubuy.com.eg/en/product/13JO3MYA-lenovo-thinkpad-t490s-14-full-hd-1920x1080-ips-touchscreen-business-laptop-intel-quad-core-i7-8665u,1,0,2022,1,24407.0,ubuy
691,Touchscreen FHD 1080p,ryzen 7 pro 5850u,14,32.0,1000,https://www.ubuy.com.eg/en/product/13JO3MYA-lenovo-thinkpad-t490s-14-full-hd-1920x1080-ips-touchscreen-business-laptop-intel-quad-core-i7-8665u,1,0,2022,1,30751.0,ubuy
692,Intel Core i7,geforce rtx 3060 laptop,15.6,6.0,512,https://www.ubuy.com.eg/en/product/1MX3BKFSI-,1,0,GIGABYTE,0,27579.0,ubuy
693,Intel Core i7,geforce rtx 3060 laptop,15.6,6.0,512,https://www.ubuy.com.eg/en/product/1MX3BKFSI-,1,0,GIGABYTE,0,29673.0,ubuy
694, Intel Core i7-11800H,geforce rtx 3070 laptop,15.6,8.0,1000,https://www.ubuy.com.eg/en/product/1MX3BKFSI-,1,0,GIGABYTE,0,31787.0,ubuy
695,Intel Core i7,geforce rtx 3080 laptop,15.6,8.0,1000,https://www.ubuy.com.eg/en/product/1MX3BKFSI-,1,0,GIGABYTE,0,40246.0,ubuy
696,Intel Core i7,geforce rtx 3080 laptop,17.3,8.0,512,https://www.ubuy.com.eg/en/product/1MX3BKFSI-,1,0,GIGABYTE,0,43417.0,ubuy
697,Intel Core i7,geforce rtx 3070 laptop,17.3,8.0,512,https://www.ubuy.com.eg/en/product/1MX3BKFSI-,1,0,GIGABYTE,0,34959.0,ubuy
698,Intel Core i7,geforce rtx 3080 laptop,17.3,8.0,512,https://www.ubuy.com.eg/en/product/1MX3BKFSI-,1,0,GIGABYTE,0,43417.0,ubuy
699,Core i7-11800H,rtx 3070 8gb graphics,15.6,32.0,1000,https://www.ubuy.com.eg/en/product/4S7QRFQI6-alienware-m15-r6-non-touch-gaming-laptop-15-6-inch-fhd-1920-x-1080-1ms-360-hz-display-core-i7-11800h-32gb-ddr4-ram-1tb-ssd-nvidia-rtx-3070-8gb,1,0,Alienware,0,39692.0,ubuy
700, Intel Core i5-10210U,intel uhd graphics,14,8.0,256,https://www.ubuy.com.eg/en/product/4RVTCNNK2-2022-newest-lenovo-ideapad-3i-laptop-14-fhd-ips-display-intel-core-i5-10210u-quad-core-processor-intel-uhd-graphics-hdmi-bluetooth-wi-fi,1,0,2022,1,12122.0,ubuy
701, Intel Core i5-10210U,intel uhd graphics,14,12.0,256,https://www.ubuy.com.eg/en/product/4RVTCNNK2-2022-newest-lenovo-ideapad-3i-laptop-14-fhd-ips-display-intel-core-i5-10210u-quad-core-processor-intel-uhd-graphics-hdmi-bluetooth-wi-fi,1,0,2022,1,12545.0,ubuy
702, Intel Core i5-10210U,intel uhd graphics,14,12.0,512,https://www.ubuy.com.eg/en/product/4RVTCNNK2-2022-newest-lenovo-ideapad-3i-laptop-14-fhd-ips-display-intel-core-i5-10210u-quad-core-processor-intel-uhd-graphics-hdmi-bluetooth-wi-fi,1,0,2022,1,12756.0,ubuy
703, Intel Core i5-10210U,intel uhd graphics,14,20.0,1000,https://www.ubuy.com.eg/en/product/4RVTCNNK2-2022-newest-lenovo-ideapad-3i-laptop-14-fhd-ips-display-intel-core-i5-10210u-quad-core-processor-intel-uhd-graphics-hdmi-bluetooth-wi-fi,1,0,2022,1,14237.0,ubuy
704, Intel Core i5-10210U,intel uhd graphics,14,20.0,512,https://www.ubuy.com.eg/en/product/4RVTCNNK2-2022-newest-lenovo-ideapad-3i-laptop-14-fhd-ips-display-intel-core-i5-10210u-quad-core-processor-intel-uhd-graphics-hdmi-bluetooth-wi-fi,1,0,2022,1,12756.0,ubuy
705, Intel Core i5-10210U,intel uhd graphics,14,36.0,1000,https://www.ubuy.com.eg/en/product/4RVTCNNK2-2022-newest-lenovo-ideapad-3i-laptop-14-fhd-ips-display-intel-core-i5-10210u-quad-core-processor-intel-uhd-graphics-hdmi-bluetooth-wi-fi,1,0,2022,1,16351.0,ubuy
706,AMD Ryzen 5-3450U,radeon vega 8 graphics,15.6,12.0,0,https://www.ubuy.com.eg/en/product/1N9H6AJVU-2021-dell-inspiron-15-3505-15-6-fhd-laptop-amd-ryzen-5-3450u-processor-12gb-ram-1tb-ssd-amd-radeon-vega-8-graphics-webcam-hdmi-bluetooth,2,1024,2021,1,20922.0,ubuy
707,AMD Ryzen 7,geforce rtx 3050 ti,17.3,16.0,512,https://www.ubuy.com.eg/en/product/489LFXH0C-asus-rog-strix-g17-g713-g713qe-rb74-17-3-gaming-notebook-full-hd-1920-x-1080-amd-ryzen-7-5800h-3-20-ghz-16-gb-ram-512-gb-ssd-eclipse-gray,2,512,Asus,0,28511.0,ubuy
708,AMD Ryzen 5,ryzen 5 - 8gb memory - ,17.3,8.0,256,https://www.ubuy.com.eg/en/product/404BHC0L0-hp-17-3-laptop-amd-ryzen-5-8gb-memory-256gb-ssd-natural-silver-17-cp0013dx-notebook-pc-computer,2,256,HP,1,16614.0,ubuy
709, HD Intel i7-1065G7,intel i7-1065g7 8gb ,15.6,8.0,0,https://www.ubuy.com.eg/en/product/1IVVU6VXC-asus-vivobook-15-6-full-hd-intel-i7-1065g7-8gb-ram-1tb-hdd-256gb-ssd-laptop,1,256000,ASUS,1,19200.0,ubuy
710,i7-1065G7,intel hd 610,17.3,24.0,1000,https://www.ubuy.com.eg/en/product/1COWJ6ODC-asus-vivobook-17-home-business-laptop-intel-i7-1065g7-4-core-24gb-ram-1tb-pcie-ssd-17-3-hd-1600x900-intel-hd-610-wifi-bluetooth-webcam,2,1000,ASUS,1,29505.0,ubuy
711,Ryzen 3 3250U,ryzen 3 3250u 2-core,15.6,8.0,1000,https://www.ubuy.com.eg/en/product/NQ6KFLC-hp-15z-15-ef0021n-home-and-business-laptop-amd-ryzen-3-3250u-2-core-8gb-ram-256gb-ssd-15-6-hd-1366x7,2,1000,HP,1,22949.0,ubuy
712,Ryzen 3 3250U,ryzen 3 3250u 2-core,15.6,8.0,2000,https://www.ubuy.com.eg/en/product/NQ6KFLC-hp-15z-15-ef0021n-home-and-business-laptop-amd-ryzen-3-3250u-2-core-8gb-ram-256gb-ssd-15-6-hd-1366x7,2,2000,HP,1,28671.0,ubuy
713,Ryzen 3 3250U,ryzen 3 3250u 2-core,15.6,8.0,256,https://www.ubuy.com.eg/en/product/NQ6KFLC-hp-15z-15-ef0021n-home-and-business-laptop-amd-ryzen-3-3250u-2-core-8gb-ram-256gb-ssd-15-6-hd-1366x7,2,256,HP,1,13117.0,ubuy
714,AMD Ryzen 5-3450U,radeon vega 8 graphics,15.6,8.0,0,https://www.ubuy.com.eg/en/product/1N8G1LN24-2021-dell-inspiron-15-3505-15-6-fhd-laptop-amd-ryzen-5-3450u-processor-8gb-ram-512gb-pcie-ssd-amd-radeon-vega-8-graphics-webcam-hdmi,2,512,2021,1,18700.0,ubuy
715,Intel Core i7-9750H,geforce gtx 1650,15.6,8.0,512,https://www.ubuy.com.eg/en/product/1VVCRS8-asus-tuf-gaming-laptop-15-6-144hz-full-hd-ips-type-display-intel-core-i7-9750h-processor-geforce-gtx,2,512,ASUS,0,29505.0,ubuy
716, AMD Ryzen 7 5700U,ryzen 7 5700u,14,16.0,512,https://www.ubuy.com.eg/en/product/4909NZYKK-lenovo-flex-5-14-full-hd-2-in-1-touchscreen-laptop-amd-ryzen-7-5700u-16gb-ram-512gb-ssd-windows-11-home,1,0,Lenovo,1,15082.0,ubuy
717, AMD Ryzen 7 4700U,ryzen 7 4700u,14,16.0,512,https://www.ubuy.com.eg/en/product/4909NZYKK-lenovo-flex-5-14-full-hd-2-in-1-touchscreen-laptop-amd-ryzen-7-5700u-16gb-ram-512gb-ssd-windows-11-home,1,0,Lenovo,1,16245.0,ubuy
718, AMD Ryzen 5 5625U,amd radeon graphics,15.6,16.0,256,https://www.ubuy.com.eg/en/product/4SL392RM6-dell-inspiron-16-5625-non-touch-laptop-16-0-inch-fhd-1920-x-1200-amd-ryzen-7-5825u-16gb-ddr4-ram-512gb-ssd-amd-radeon-graphics-windows-11,1,0,Dell,1,11085.0,ubuy
719, AMD Ryzen 3 3250U,ryzen 3 3250u up to 3.5,14,8.0,128,https://www.ubuy.com.eg/en/product/3K12Y4-hp-14-touchscreen-home-and-business-laptop-ryzen-3-3200u-8gb-ram-128gb-m-2-ssd-dual-core-up-to-3-50,1,0,2021,1,10007.0,ubuy
