,Processor,Graphics Card,Screen Size(inch),RAM(GB),SSD(GB),link,OS,HDD(GB),brand,Normal,price EG,store
778, Intel Core i7-10750H,geforce gtx 1650 ti 4gb,15.6,16.0,512,https://www.ubuy.com.eg/en/product/4F3IH2GHW-dell-xps-business-laptop-15-6-inch-fhd-intel-core-i7-10750h-processor-32gb-ram-1tb-pcie-ssd-geforce-gtx-1650-ti-4gb-gddr6-fingerpring-reader,1,0,Dell,1,40880.0,ubuy
779, Intel Core i7-10750H,geforce gtx 1650 ti 4gb,15.6,32.0,1000,https://www.ubuy.com.eg/en/product/4F3IH2GHW-dell-xps-business-laptop-15-6-inch-fhd-intel-core-i7-10750h-processor-32gb-ram-1tb-pcie-ssd-geforce-gtx-1650-ti-4gb-gddr6-fingerpring-reader,1,0,Dell,1,41091.0,ubuy
780, Intel Core i7-10750H,geforce gtx 1650 ti 4gb,15.6,32.0,2000,https://www.ubuy.com.eg/en/product/4F3IH2GHW-dell-xps-business-laptop-15-6-inch-fhd-intel-core-i7-10750h-processor-32gb-ram-1tb-pcie-ssd-geforce-gtx-1650-ti-4gb-gddr6-fingerpring-reader,1,0,Dell,1,44898.0,ubuy
781, Intel Core i7-10750H,geforce gtx 1650 ti 4gb,15.6,64.0,1000,https://www.ubuy.com.eg/en/product/4F3IH2GHW-dell-xps-business-laptop-15-6-inch-fhd-intel-core-i7-10750h-processor-32gb-ram-1tb-pcie-ssd-geforce-gtx-1650-ti-4gb-gddr6-fingerpring-reader,1,0,Dell,1,44475.0,ubuy
782, Intel Core i7-10750H,geforce gtx 1650 ti 4gb,15.6,64.0,2000,https://www.ubuy.com.eg/en/product/4F3IH2GHW-dell-xps-business-laptop-15-6-inch-fhd-intel-core-i7-10750h-processor-32gb-ram-1tb-pcie-ssd-geforce-gtx-1650-ti-4gb-gddr6-fingerpring-reader,1,0,Dell,1,48704.0,ubuy
783, AMD Ryzen 5 4500U,ryzen 5 4500u 8gb 256gb,14,8.0,256,https://www.ubuy.com.eg/en/product/11VE2SX2-dell-inspiron-14-7000-amd-ryzen-5-4500u-8gb-256gb-ssd-14-inch-full-hd-touch-screen-2-in-1-laptop,1,0,Dell,1,12545.0,ubuy
784, Intel Core i7-1185G7,intel iris xe graphics,13.4,32.0,2000,https://www.ubuy.com.eg/en/product/YMUM7KCG-dell-xps-9310-oled-4k-touch-screen-laptop-13-4-in-intel-core-i7-1185g7-32gb-lpddr4x-ram-2tb-ssd-inte,1,0,Dell,1,47667.0,ubuy
785,Laptop Intel 6,rtx 3060 6gb gddr6 kill,15.6,16.0,1000,https://www.ubuy.com.eg/en/product/4XQCJAPH4-2022-acer-nitro-an515-15-6-144hz-fhd-ips-gaming-laptop-intel-6-core-i7-10750h-16gb-ram-ddr4-1tb-nvme-ssd-nvidia-rtx-3060-6gb-gddr6-killer-wifi,1,0,2022,0,29694.0,ubuy
786,Laptop Intel 6,rtx 3060 6gb gddr6 kill,15.6,16.0,1000,https://www.ubuy.com.eg/en/product/4XQCJAPH4-2022-acer-nitro-an515-15-6-144hz-fhd-ips-gaming-laptop-intel-6-core-i7-10750h-16gb-ram-ddr4-1tb-nvme-ssd-nvidia-rtx-3060-6gb-gddr6-killer-wifi,1,0,2022,0,29694.0,ubuy
787,Laptop Intel 6,rtx 3060 6gb gddr6 kill,15.6,16.0,1000,https://www.ubuy.com.eg/en/product/4XQCJAPH4-2022-acer-nitro-an515-15-6-144hz-fhd-ips-gaming-laptop-intel-6-core-i7-10750h-16gb-ram-ddr4-1tb-nvme-ssd-nvidia-rtx-3060-6gb-gddr6-killer-wifi,1,0,2022,0,29694.0,ubuy
788,Laptop Intel 8,rtx 3060 6gb gddr6 kill,17.3,16.0,1000,https://www.ubuy.com.eg/en/product/4XQCJAPH4-2022-acer-nitro-an515-15-6-144hz-fhd-ips-gaming-laptop-intel-6-core-i7-10750h-16gb-ram-ddr4-1tb-nvme-ssd-nvidia-rtx-3060-6gb-gddr6-killer-wifi,1,0,2022,0,32866.0,ubuy
789,Laptop Intel 8,rtx 3050 ti 4gb gddr6 k,17.3,16.0,1000,https://www.ubuy.com.eg/en/product/4XQCJAPH4-2022-acer-nitro-an515-15-6-144hz-fhd-ips-gaming-laptop-intel-6-core-i7-10750h-16gb-ram-ddr4-1tb-nvme-ssd-nvidia-rtx-3060-6gb-gddr6-killer-wifi,1,0,2022,0,30751.0,ubuy
790, AMD Ryzen 5 4600H,geforce gtx 1650,15.6,8.0,512,https://www.ubuy.com.eg/en/product/DKE0XCY-hp-pavilion-gaming-15-laptop-nvidia-geforce-gtx-1650-amd-ryzen-5-4600h-8gb-ddr4-ram-512-gb-pcie-nvme,1,0,HP,0,15019.0,ubuy
