,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
94,ايه amd ryzen 5 3450U,15.6,8.0,ايه ام دي راديون جيجا GPU 8,لاب,256,0,https://btech.com/en/dell-inspiron-3505-laptop-ryzen-5-3450u-15-6-inch-256-gb-ssd-8gb-ram-amd-radeon-8-gb-gpu-windows-10-black.html,1,1,11899.0,btech
95,Intel Core i3-1115G4,15.6,4.0,Intel UHD Graphics,Dell,1000,0,https://btech.com/en/dell-vostro3510-4gb-quadcore-core-i3-intel-dos.html,1,1,9309.0,btech
97,Intel Core i5-1135G7 - Quad core,15.6,8.0,Nvidia GeForce MX350 2GB,Dell,0,1000,https://btech.com/en/dell-vostro153510-laptop-ici51135g7.html,1,1,12672.0,btech
98,Intel Core i5-1135G7,15.6,4.0,Nvidia GeForce MX450 2GB,Dell,0,1000,https://btech.com/en/dell-latitude3520-laptop-i51135g7-nvidia-geforce-mx450-2gb-1650310004.html,1,1,15199.0,btech
99,Intel Core i7-11800H,15.6,16.0,"NVIDIA GeForce RTX 3060, 6GB",Dell,1000,0,https://btech.com/en/dell-g15-5511-i7-11800h-1tb-16gb-ubuntu-gy.html,1,0,33099.0,btech
100,AMD Ryzen 7 4800H,15.6,16.0,"NVIDIA GeForce GTX 1650TI, 4GB",Lenovo,512,0,https://btech.com/en/lenovo-3-15arh05-ryzen-7-4800h-1tb-512gb-16gb.html,2,0,23599.0,btech
101,Intel Core i5-10300H,15.6,16.0,"NVIDIA GeForce GTX 1650, 4GB",Lenovo,128,0,https://btech.com/en/lenovo-gaming-3-i5-10300h-1tb-128gb-16-bk.html,1,0,21199.0,btech
102,Intel Core i3-1005G1,15.6,4.0,Intel Shared-D,Lenovo,0,1000,https://btech.com/en/lenovo-ideapad-3-i3-1tb-4gb-bl.html,1,1,8999.0,btech
103,Intel Core i7-1165G7,14.5,16.0,"NVIDIA GeForce MX350, 2GB",Dell,1000,0,https://btech.com/en/dell-7400-i7-1165g7-1tb-ssd-16gb-win-10-sl.html,2,1,30899.0,btech
104,Intel Core i7-1165G7,15.6,8.0,Nvidia MX350 2G,Dell,0,1000,https://btech.com/en/dell-vostro-3510-i7-1tb-8gb-ubuntu-bk.html,1,1,16299.0,btech
105,Intel Core i7-10870H,15.6,16.0,"NVIDIA GeForce RTX 3050, 4GB",Dell,512,0,https://btech.com/en/dell-inspiron-i7-15-6-512-8-nvidia-grey.html,2,1,29499.0,btech
106,AMD Ryzen 7 5800H,16.0,16.0,"NVIDIA GeForce RTX 3070, 8GB",Lenovo,512,0,https://btech.com/en/lenovo-5-pro-ryzen-7-5800h-512gb-16gb-win-11.html,2,1,43899.0,btech
107,Intel Core i5-1135G7,15.6,4.0,Nvidia MX 350 2G,Dell,0,1000,https://btech.com/en/dell-vostro-3510-i5-15-6-1tb-4gb-ubuntu.html,1,1,13699.0,btech
108,Intel Core i3-1005G1,15.6,4.0,Intel HD Graphics,Lenovo,0,1000,https://btech.com/en/lenovo-ideapad-3-15iml05-i3-1005g1-1tb-4gb.html,2,1,8999.0,btech
