,Graphics Card,Processor,Screen Size(inch),brand,HDD(GB),SSD(GB),link,RAM(GB),OS,Normal,price EG,store
0,uhd graphics 620,Intel Core i7 8th Gen,14.0,Visit,0.0,256.0,https://www.newegg.com/p/N82E16834845477,16.0,2,1,33141.44265670884,New Egg
1,nan,Intel Core i7,13.5,Visit,0.0,512.0,https://www.newegg.com/p/1TS-0025-00178,16.0,2,1,36823.1091513202,New Egg
3,uhd graphics 620,Intel Core i5,13.3,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000D-04TR3,8.0,2,1,40267.076533881984,New Egg
4,nan,,14.0,Visit,0.0,256.0,https://www.newegg.com/p/N82E16834845475,16.0,2,1,48478.83516859225,New Egg
5,nan, intel pentium gold 5405u,15.6,Visit,500.0,0.0,https://www.newegg.com/p/0S6-002W-00036,4.0,2,1,13973.430449866964,New Egg
7,nan,Intel Core i5,14.0,Visit,0.0,256.0,https://www.newegg.com/p/N82E16834850696,8.0,2,1,30250.940441320578,New Egg
8,quadro m1000m1920 x 108,PRM5510-26733B,15.6,Visit,500.0,0.0,https://www.newegg.com/brondell-inc-prm5510-26733/p/1TS-001Z-00005,8.0,2,1,24855.85184234568,New Egg
9,nan, Core i5 i5-8365U,13.3,Visit,128.0,128.0,https://www.newegg.com/dell-latitude-7300-laptop-workstation/p/N82E16834844468,8.0,2,1,46398.27748760064,New Egg
10,intel uhd graphics 620,Intel Core i5 8th Gen,13.3,Visit,0.0,256.0,https://www.newegg.com/hp-elitebook-830-g5-mainstream/p/N82E16834270999,8.0,2,1,23917.20732396557,New Egg
11,nan, Intel Core i7-7500U,15.0,Visit,1000.0,0.0,https://www.newegg.com/p/0VW-00BT-00008,8.0,2,1,25942.528960329088,New Egg
12,geforce 940mx 2gb 512gb, Intel Core i7-7500U,17.3,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000A-05WG0,16.0,2,1,33859.69535702285,New Egg
13,yes,ThinkPad,17.6,Visit,0.0,512.0,https://www.newegg.com/p/N82E16834845264,16.0,2,1,51664.11374214579,New Egg
15,nan,,14.0,Visit,0.0,256.0,https://www.newegg.com/p/N82E16834845477,16.0,2,1,33141.44265670884,New Egg
16,nan,Intel Core i7,13.5,Visit,0.0,512.0,https://www.newegg.com/p/1TS-0025-00178,16.0,2,1,36823.1091513202,New Egg
18,nan, FHD Laptop i5-8365U,13.3,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000D-04TR3,8.0,2,1,40267.076533881984,New Egg
19,nan, Core i7 i7-8665U,14.0,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000D-077P8,16.0,2,1,58807.97551404621,New Egg
20,quadro p5201920 x 1080w, Core i7 i7-8665U,14.0,Visit,0.0,512.0,https://www.newegg.com/p/N82E16834845502,32.0,2,1,38665.04711951844,New Egg
21,nan, technologies Storedell inspiron i55673655gr,15.6,Visit,1000.0,0.0,https://www.newegg.com/p/2BG-002Z-00012,8.0,1,1,27978.529565320707,New Egg
22,nan, Core i5 i5-8365U,14.0,Visit,0.0,256.0,https://www.newegg.com/p/N82E16834845475,16.0,2,1,48478.83516859225,New Egg
24,nan,i5-8365U,14.0,Visit,0.0,256.0,https://www.newegg.com/black-lenovo-20n2003nus/p/2WC-000J-008H4,8.0,2,1,25058.752246279553,New Egg
25,intel uhd graphics 615,intel core i58265u,14.0,Visit,0.0,128.0,https://www.newegg.com/p/0ZP-01DR-00008,8.0,2,1,17112.12662578414,New Egg
26,nan, Core i5 i5-8365U,13.3,Visit,128.0,128.0,https://www.newegg.com/dell-latitude-7300-laptop-workstation/p/N82E16834844468,8.0,2,1,46398.27748760064,New Egg
27,intel uhd graphics 620 , Intel Core i5 8th,1.6,Visit,0.0,256.0,https://www.newegg.com/hp-elitebook-830-g5-mainstream/p/N82E16834270999,8.0,2,1,23917.20732396557,New Egg
29,radeon pro 555x gpu (4g,Intel Core i7,15.4,Visit,0.0,256.0,https://www.newegg.com/p/2SN-0001-00PZ1,4.0,0,1,39308.73115958452,New Egg
30,intel uhd graphics 620 ,JKQ-00066,1.9,Visit,0.0,256.0,https://www.newegg.com/black-microsoft-surface-laptop-2-jkq-00066-mainstream/p/N82E16834735868,8.0,2,1,16552.40137355277,New Egg
31,geforce gtx 850m graphi, Quad Core FHD 1080P,8.1,Visit,1000.0,0.0,https://www.newegg.com/p/1TS-000D-003F8,4.0,2,1,19314.20360495757,New Egg
32,intel uhd graphics 620 ,LQV-00001,1.9,Visit,0.0,1000.0,https://www.newegg.com/platinum-microsoft-surface-laptop-2-lqv-00001-mainstream/p/N82E16834735858,16.0,2,1,59016.76776274041,New Egg
34,intel iris plus graphic,Intel Core i5,13.3,Visit,0.0,512.0,https://www.newegg.com/p/1XV-000E-00036,8.0,0,1,33048.64610173364,New Egg
35,intel uhd graphics 620 , Core i5 i5-8250U,13.3,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000X-01568,8.0,2,1,16293.71256454452,New Egg
36,radeon pro wx 2100be th, Laptop i7-8665U 16GB,15.6,Visit,0.0,512.0,https://www.newegg.com/p/2WC-0009-00815,16.0,1,0,35666.09813651034,New Egg
37,intel uhd graphics 620 , Core i7 i7-8550U,13.3,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000X-01566,8.0,2,1,19921.615975717865,New Egg
38,quadro p520windows 10 p,I78565U,1.8,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000E-0E8A9,8.0,2,1,42918.406676030594,New Egg
39,nan, LLC StoreDELL Latitude 4385X,14.0,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000A-04Y97,8.0,2,1,35190.14755196492,New Egg
40,nan,20Q0002WCA 13.3,13.3,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000E-0DB29,8.0,1,1,27415.306030262887,New Egg
41,nan, Core i7 i7-8665U,13.3,Visit,0.0,256.0,https://www.newegg.com/p/N82E16834844464,16.0,2,1,51098.31252500533,New Egg
44,intel uhd graphics 620 , Intel Core i5 8th,1.6,Visit,0.0,256.0,https://www.newegg.com/black-lenovo-thinkpad-l480-mainstream/p/N82E16834850729,8.0,2,1,19940.027990593895,New Egg
45,nan,i7-8665U,14.0,Visit,0.0,256.0,https://www.newegg.com/black-lenovo-20n2003pus/p/2WC-000J-008H5,8.0,2,1,45054.200401650305,New Egg
46,nan, Intel Core i7 16GB,15.0,Visit,0.0,256.0,https://www.newegg.com/p/2WC-001P-00013,16.0,1,1,66856.41957680607,New Egg
47,"geforce 840m 14.0"" wind",Intel Core i7,15.6,Visit,0.0,256.0,https://www.newegg.com/acer-travelmate-tmp645-sg-79qv-mainstream/p/1TS-000X-00RT8,8.0,2,1,18393.602861155967,New Egg
48,nan,Celeron N4100,11.6,Visit,0.0,128.0,https://www.newegg.com/p/1TS-000X-012W2,4.0,2,1,22536.30620826317,New Egg
49,intel hd graphics 4200 , Intel Core i3 4012Y,1.5,Visit,0.0,128.0,https://www.newegg.com/hp-pro-x2-612-g1-mainstream/p/N82E16834264068,4.0,2,1,15650.2126446272,New Egg
50,intel uhd graphics 605 ,#ABA Intel Pentium N5000,1.1,Visit,0.0,128.0,https://www.newegg.com/hp-stream-11-pro-g5-5vd63ut-aba-everyday-value/p/N82E16834270982,4.0,2,1,8358.870633569768,New Egg
53,intel icl, Quad-Core i5 1035G1,3.6,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000A-06PR1,12.0,2,0,32018.493869419646,New Egg
54,intel uhd graphics 620 ,20Q0002WUS 13.3,13.3,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000E-0DAZ4,8.0,2,1,44244.0717471049,New Egg
55,nan,cs2045nr 15.6,15.6,Visit,1000.0,0.0,https://www.newegg.com/silver-hp-15-cs2000-15-cs2045nr/p/2WC-0001-004Y1,8.0,2,1,17270.469953718017,New Egg
61,nan, FHD Laptop i7-10510U,13.3,Visit,0.0,512.0,https://www.newegg.com/p/2WC-000J-009Z4,16.0,2,1,53518.7560006085,New Egg
66,nan, Intel Core i7-7500U,13.9,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000E-060T0,16.0,2,1,28354.31878894052,New Egg
70,nan, Core i7 i7-8565U,14.0,Visit,0.0,512.0,https://www.newegg.com/p/N82E16834316840,16.0,2,1,39228.82301502254,New Egg
71,nan,Intel Core i5,13.3,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000M-004T6,8.0,0,1,19884.05546537076,New Egg
72,nan, Intel Core i7-7500U,14.0,Visit,0.0,180.0,https://www.newegg.com/p/1TS-000E-07Y16,12.0,2,1,28538.43893770084,New Egg
73,quadro p3000 6gbbe the , Intel Xeon E3-1505M,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BZ63,8.0,2,1,49988.436268278114,New Egg
74,quadro p4000 8gb,Xeon E3-1535M,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BU20,8.0,2,1,76906.8020170369,New Egg
75,quadro p3000 6gb gpube , Intel Xeon E3-1505M,17.3,Visit,0.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BY45,16.0,2,1,51921.69783026147,New Egg
76,intel uhd graphics 6205, Quad-Core i5-8250U,17.3,Visit,0.0,2000.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HP5,32.0,1,1,31300.24116910564,New Egg
77,nan, Intel Core i7-7500U,14.0,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000E-07ER2,16.0,2,1,29458.67144120492,New Egg
78,intel uhd graphics 6202, Quad-Core i5-8250U,17.3,Visit,0.0,2000.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03GV7,8.0,1,1,25776.636706296038,New Egg
79,intel uhd graphics 6202, Quad-Core i5-8250U,17.3,Visit,0.0,2000.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HN8,32.0,2,1,30379.64042530404,New Egg
80,nan, Intel Core i7-7600U,14.0,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000E-07FV5,16.0,2,1,33141.07441641132,New Egg
81,intel hd graphics 6000 ,Intel Core i5,13.3,Visit,0.0,256.0,https://www.newegg.com/p/1XV-000E-002A3,8.0,0,1,19884.05546537076,New Egg
82,quadro p3000 6gb gpu, Intel Xeon E3-1535M,17.3,Visit,0.0,4000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BPZ9,32.0,2,1,93256.67122695332,New Egg
83,intel uhd graphics 6205, Quad-Core i5-8250U,17.3,Visit,1000.0,620500.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03H81,32.0,2,1,28538.43893770084,New Egg
84,quadro p1000 4gbbe the , Hexa-Core i7-8850H,15.6,Visit,1000.0,1000512.0,https://www.newegg.com/black-lenovo-p52-thinkpad/p/1TS-000E-0B2N9,16.0,2,1,52658.17842530276,New Egg
85,quadro p3000 6gb,Xeon E3-1505M,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTC4,16.0,2,1,61532.76959555018,New Egg
86,quadro p4000 8gb gpu, Intel Xeon E3-1535M,17.3,Visit,0.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BNK7,8.0,2,1,70186.41658728522,New Egg
87,intel i7,Intel i7-7700H,17.3,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BKS8,16.0,2,1,41334.78927654307,New Egg
88,quadro p3000 6gb gpube , Intel Xeon E3-1505M,17.3,Visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BZ37,32.0,2,1,51921.69783026147,New Egg
89,quadro p4000 8gb, Intel Xeon E3-1535M,17.3,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BNS3,8.0,2,1,68253.15502530186,New Egg
90,quadro p3000 6gb, Intel Xeon E3-1505M,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BSK4,16.0,2,1,55751.39692447613,New Egg
91,quadro p4000 8gb gpu, Intel Xeon E3-1535M,17.3,Visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BNK5,8.0,2,1,68253.15502530186,New Egg
92,quadro p4000 8gb,Xeon E3-1535M,17.3,Visit,1000.0,512.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BW03,32.0,2,1,84603.02423521827,New Egg
93,nan,i7-6600U,15.6,Visit,0.0,2000.0,https://www.newegg.com/p/1TS-000E-0FSP9,8.0,2,1,32220.84191290724,New Egg
94,nan, Intel Core i7-7500U,14.0,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000E-07ET9,16.0,2,1,30379.27218500652,New Egg
95,nan,i7-6600U,15.6,Visit,0.0,1000.0,https://www.newegg.com/p/1TS-000E-0FSW0,32.0,2,1,34062.04340051044,New Egg
96,quadro p3000 6gb gpube , Intel Xeon E3-1505M,17.3,Visit,0.0,4000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BY49,16.0,2,1,74991.95246992957,New Egg
97,geforce gt650m discrete,Core i7-3630Q,8.1,Visit,0.0,1000.0,https://www.newegg.com/p/1TS-000E-0D792,16.0,2,0,22094.23373108964,New Egg
98,intel uhd graphics 6202, Quad-Core i5-8250U,17.3,Visit,2000.0,620256.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HC5,32.0,2,1,28538.43893770084,New Egg
99,quadro p4000 8gb, Intel Xeon E3-1535M,17.3,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BR99,16.0,2,1,72101.26613439254,New Egg
100,quadro p3000 6gb, Intel Xeon E3-1505M,17.3,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BN44,64.0,2,1,66338.30547819452,New Egg
101,quadro p3000 6gb, Intel Xeon E3-1535M,17.3,Visit,1000.0,512.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BNH5,32.0,2,1,67295.7302517482,New Egg
102,quadro p3000 6gb gpu, Intel Xeon E3-1505M,17.3,Visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BMY6,16.0,2,1,52879.122603815136,New Egg
103,intel i7,Intel i7-7700H,17.3,Visit,500.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BKM1,64.0,2,1,46140.32515918743,New Egg
104,nan,i7-6600U,15.6,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000E-0FWR9,16.0,2,1,28538.43893770084,New Egg
105,intel i7,Intel i7-7700H,17.3,Visit,0.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BKK6,32.0,2,1,46140.32515918743,New Egg
106,intel uhd graphics 6202, Quad-Core i5-8250U,17.3,Visit,0.0,620256.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03H01,8.0,1,1,22094.23373108964,New Egg
107,quadro p4000 8gb gpu, Intel Xeon E3-1535M,17.3,Visit,0.0,4000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BNS1,64.0,2,1,104801.00455422538,New Egg
108,intel i7,Intel i7-7700H,17.3,Visit,0.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BRS2,16.0,2,1,47097.74993274109,New Egg
109,quadro m520m,Core i7-7600U,15.6,Visit,0.0,2000.0,https://www.newegg.com/black-lenovo-p51s-thinkpad-workstation/p/1TS-000E-0CZ13,8.0,2,1,49620.19597075748,New Egg
110,quadro p4000 8gb, Intel Xeon E3-1535M,17.3,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BNT6,32.0,2,1,75949.37724348324,New Egg
111,intel uhd graphics 6201, Quad-Core i5-8250U,17.3,Visit,1000.0,0.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03GX9,32.0,2,1,25776.636706296038,New Egg
112,nan, Intel Core i7-7500U,14.0,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000E-07ER8,16.0,2,1,29458.67144120492,New Egg
113,intel uhd graphics 6202, Quad-Core i5-8250U,17.3,Visit,0.0,4000.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HU5,32.0,2,1,37744.446375716834,New Egg
114,quadro p3000 6gb gpu, Intel Xeon E3-1505M,17.3,Visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BN14,64.0,2,1,62490.19436910385,New Egg
115,quadro p3000 6gb gpu, Intel Xeon E3-1505M,17.3,Visit,0.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BMZ6,32.0,2,1,54793.97215092247,New Egg
116,intel uhd graphics 6202, Quad-Core i5-8250U,17.3,Visit,0.0,1000.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HH0,16.0,1,1,30379.64042530404,New Egg
117,intel uhd graphics 6205, Quad-Core i5-8250U,17.3,Visit,0.0,4000.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HV0,32.0,2,1,38665.04711951844,New Egg
118,quadro p3000 6gbbe the , Intel Xeon E3-1505M,17.3,Visit,1000.0,512.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0DEK6,16.0,2,1,52879.122603815136,New Egg
119,intel i7,Intel i7-7700H,17.3,Visit,1000.0,2000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BKT3,16.0,2,1,65380.88070464087,New Egg
120,nan, Intel Core i7-7500U,14.0,Visit,0.0,180.0,https://www.newegg.com/p/1TS-000E-07X06,16.0,2,1,29459.03968150244,New Egg
121,quadro m2200m 4gbbe the, Intel Xeon E3-1505M,15.6,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p51-thinkpad-workstation/p/1TS-000E-06ZW7,64.0,2,1,56708.821698029795,New Egg
122,intel uhd graphics 6205, Quad-Core i5-8250U,17.3,Visit,0.0,1000.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HG0,16.0,2,1,27617.83819389924,New Egg
123,quadro p3000 6gb, Intel Xeon E3-1505M,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BPW1,32.0,2,1,65380.88070464087,New Egg
124,geforce gt650m discrete,Core i7-3630Q,8.1,Visit,0.0,2000.0,https://www.newegg.com/p/1TS-000E-0D776,8.0,2,0,23935.43521869284,New Egg
125,quadro p3000 6gb gpu,Xeon E3-1535M,17.3,Visit,0.0,2000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTG8,16.0,2,1,71143.84136083888,New Egg
126,intel uhd graphics 6201, Quad-Core i5-8250U,17.3,Visit,0.0,2000.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HK5,8.0,2,1,28538.43893770084,New Egg
127,quadro p3000 6gb gpu, Intel Xeon E3-1535M,17.3,Visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BPZ3,32.0,2,1,68253.15502530186,New Egg
128,quadro p4000 8gb gpu,Xeon E3-1535M,17.3,Visit,500.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTU9,16.0,2,1,70186.41658728522,New Egg
129,nan, Intel Core i7-7500U,14.0,Visit,0.0,2000.0,https://www.newegg.com/p/1TS-000E-07ES8,16.0,2,1,33141.07441641132,New Egg
130,quadro p3000 6gb gpu,Xeon E3-1505M,17.3,Visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BT66,32.0,2,1,60575.344821996514,New Egg
131,intel uhd graphics 6202, Quad-Core i5-8250U,17.3,Visit,0.0,620256.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03GW2,16.0,2,1,23935.43521869284,New Egg
132,quadro p4000 8gb,Xeon E3-1535M,17.3,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BVZ8,32.0,2,1,82688.17468811094,New Egg
133,quadro p3000 6gb,Xeon E3-1535M,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTM3,8.0,2,1,66338.30547819452,New Egg
134,nan, Intel Core i7-7600U,14.0,Visit,0.0,128.0,https://www.newegg.com/p/1TS-000E-07EZ2,16.0,2,1,32220.473672609718,New Egg
135,intel uhd graphics 6202, Quad-Core i5-8250U,17.3,Visit,0.0,1000.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HG8,16.0,2,1,30379.64042530404,New Egg
136,quadro p3000 6gb, Intel Xeon E3-1505M,17.3,Visit,1000.0,2000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BPW3,32.0,2,1,85560.44900877195,New Egg
137,quadro p4000 8gb,Xeon E3-1535M,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTZ6,8.0,2,1,75949.37724348324,New Egg
138,geforce gt650m discrete,Core i7-3630Q,15.6,Visit,0.0,250.0,https://www.newegg.com/p/1TS-000E-0D7J3,16.0,2,0,19884.7919459658,New Egg
139,intel i7,Intel i7-7700H,17.3,Visit,0.0,2000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BKN1,64.0,2,1,56727.23371290583,New Egg
140,quadro p4000 8gb,Xeon E3-1535M,17.3,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BU06,32.0,2,1,79797.48835257393,New Egg
141,intel uhd graphics 6202, Quad-Core i5-8250U,17.3,Visit,0.0,620256.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03H30,32.0,2,1,25776.636706296038,New Egg
142,quadro p4000 8gb gpu, Intel Xeon E3-1535M,17.3,Visit,500.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BNP9,64.0,2,1,75949.37724348324,New Egg
143,quadro p3000 6gb gpu, Intel Xeon E3-1535M,17.3,Visit,0.0,4000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BR13,64.0,2,1,102867.74299224201,New Egg
144,intel i7,Intel i7-7700H,17.3,Visit,1000.0,2000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BKS5,8.0,2,1,63447.61914265751,New Egg
145,nan,i7-6600U,15.6,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000E-0FSU2,8.0,2,1,29090.7993839818,New Egg
146,quadro p3000 6gb, Intel Xeon E3-1505M,17.3,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BYM8,32.0,2,1,63447.61914265751,New Egg
147,quadro p3000 6gb gpu,Xeon E3-1505M,17.3,Visit,0.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BUZ0,64.0,2,1,72101.26613439254,New Egg
148,nan,i7-6600U,15.6,Visit,0.0,1000.0,https://www.newegg.com/p/1TS-000E-0FSS5,16.0,2,1,31300.24116910564,New Egg
149,intel i7,Intel i7-7700H,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BKU8,64.0,2,1,54793.97215092247,New Egg
150,nan, Intel Core i7-7500U,14.0,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000E-07F54,16.0,2,1,30379.27218500652,New Egg
151,quadro p3000 6gb, Intel Xeon E3-1535M,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BND7,8.0,2,1,62490.19436910385,New Egg
152,quadro p3000 6gb, Intel Xeon E3-1505M,17.3,Visit,0.0,4000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BSG8,32.0,2,1,80754.91312612759,New Egg
153,nan, Intel Core i7-7500U,14.0,Visit,0.0,128.0,https://www.newegg.com/p/1TS-000E-07X83,12.0,2,1,28538.43893770084,New Egg
154,quadro m2200m 4gbbe the, Intel Xeon E3-1505M,15.6,Visit,1000.0,2000.0,https://www.newegg.com/black-lenovo-p51-thinkpad-workstation/p/1TS-000E-070C1,32.0,2,1,53670.839243484515,New Egg
155,quadro p4000 8gb,-Intel Xeon E3-1535M,17.3,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BRB7,16.0,2,1,73058.6909079462,New Egg
156,quadro m2200m 4gbbe the, Intel Xeon E3-1505M,15.6,Visit,1000.0,256.0,https://www.newegg.com/black-lenovo-p51-thinkpad-workstation/p/1TS-000E-06ZW8,32.0,2,1,49620.19597075748,New Egg
157,quadro p4000 8gb gpu, Intel Xeon E3-1535M,17.3,Visit,0.0,4000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BR83,32.0,2,1,102867.74299224201,New Egg
158,quadro p3000 6gb, Intel Xeon E3-1505M,17.3,Visit,0.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BSH2,64.0,2,1,59599.50803356682,New Egg
159,quadro p4000 8gb, Intel Xeon E3-1535M,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BRA3,16.0,2,1,75949.37724348324,New Egg
160,intel hd graphics 6000 ,Intel Core i5,13.3,Visit,0.0,256.0,https://www.newegg.com/p/1XV-000E-00284,8.0,0,1,19699.935316610437,New Egg
161,quadro p3000 6gb, Intel Xeon E3-1505M,17.3,Visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BSG2,32.0,2,1,55751.39692447613,New Egg
162,nan, Intel Core i7-7500U,14.0,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000E-07XS6,24.0,2,1,31300.24116910564,New Egg
163,quadro p3000 6gb gpu,Xeon E3-1535M,17.3,Visit,0.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BV78,64.0,2,1,83645.5994616646,New Egg
164,quadro p3000 6gb gpu, Intel Xeon E3-1505M,17.3,Visit,0.0,256.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BMZ8,32.0,2,1,54793.97215092247,New Egg
165,quadro p3000 6gb gpube , Intel Xeon E3-1505M,17.3,Visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BZ10,8.0,2,1,46140.32515918743,New Egg
166,quadro p3000 6gb, Intel Xeon E3-1505M,17.3,Visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0DES7,16.0,2,1,58642.083260013154,New Egg
