,Graphics Card,Processor,Screen Size(inch),brand,HDD(GB),SSD(GB),link,RAM(GB),OS,Normal,price EG,store
2876,intel iris xe graphics,2560x1600,17.0,Visit,0.0,2000.0,https://www.newegg.com/silver-dell-inspiron-7706-mainstream/p/1TS-000A-0K578,32.0,2,1,29440.811786775168,New Egg
2877,nan, Intel Core i5-1135G7,15.6,Visit,0.0,256.0,https://www.newegg.com/black-asus-vivobook-f513-mainstream/p/1TS-001A-051F8,24.0,2,1,14729.42778067684,New Egg
2878,intel i7,Intel i7-1165G,15.6,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000D-0PH64,16.0,2,1,24285.447621486208,New Egg
2879,ryzen 5 4500u 6,(AMD Ryzen 5 4500U,15.6,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000E-0VR34,16.0,2,1,14158.839439668607,New Egg
2880,intel uhd graphics 12.4, Intel Core i5 10th,1.0,Microsoft,0.0,256.0,https://www.newegg.com/platinum-microsoft-surface-laptop-go-14m-00001-mainstream/p/1B4-003A-00223,16.0,2,1,19700.67179720548,New Egg
2881,radeon vega 8 graphics , AMD Ryzen 5 3500U,15.6,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000X-02PX6,8.0,2,0,10126.42406166884,New Egg
2882,nan, Intel Core i5-1135G7,15.6,Visit,0.0,512.0,https://www.newegg.com/black-dell-latitude-3520-mainstream/p/1TS-000A-0K6H8,32.0,2,1,20621.272541007078,New Egg
2883,nan, Intel Core i5-1135G7,15.6,Visit,1000.0,2.0,https://www.newegg.com/p/1TS-000A-0KSH1,16.0,2,1,12869.998398346368,New Egg
2884,nan, Intel Core i5-1135G7,14.0,Visit,0.0,512.0,https://www.newegg.com/indie-black-light-grey-asus-vivobook-s-s433ea-dh51-mainstream/p/N82E16834235589,8.0,2,1,12428.110041321599,New Egg
2885,intel uhd graphics 32gb, Intel core i5-1135G7,15.0,Visit,0.0,1000.0,https://www.newegg.com/p/1TS-000E-0W6R9,32.0,2,1,24764.16000826304,New Egg
2886,intel hd graphics,Intel Core i7,15.6,Visit,2000.0,1000.0,https://www.newegg.com/p/1TS-001A-04XC5,20.0,2,1,17050.07813565191,New Egg
2887,ryzen 7 pro 4750u, Ryzen 7 Pro 4750U,14.0,Visit,0.0,1000.0,https://www.newegg.com/black-lenovo-20y10043us/p/1TS-000E-0UY80,32.0,2,1,23935.43521869284,New Egg
2888,intel i7,-Core Gen i7-1065G7,15.6,Visit,1000.0,1024.0,https://www.newegg.com/p/1TS-001A-04NC1,20.0,2,1,15196.908838379291,New Egg
2889,ryzen 7 4700u (beat i7,-Core Ryzen 7 4700U,15.6,Visit,0.0,1024.0,https://www.newegg.com/p/1TS-000A-0E5K4,32.0,2,1,17016.200028280015,New Egg
2890,intel iris xe graphicso, Intel Core i5-1135G7,17.3,Visit,1000.0,1000.0,https://www.newegg.com/p/1TS-000D-0SDX2,16.0,2,1,17104.76181983373,New Egg
2891,nan, Intel Core i3-1115G4,17.3,Visit,0.0,512.0,https://www.newegg.com/silver-hp-17-mainstream/p/1TS-000D-0UBR4,16.0,2,1,10421.200419834113,New Egg
2892,intel uhd graphics fing, Quad-core i5-1035G1,17.3,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000E-0V7Y7,12.0,2,1,14527.079737189248,New Egg
2893,intel uhd graphics802_1, Quad-Core i5-1035G1,17.3,Visit,256.0,256.0,https://www.newegg.com/blue-lenovo-ideapad-3-mainstream/p/1TS-000E-0UPJ4,12.0,2,1,12022.861593900136,New Egg
2895,radeon vega 8 graphics , AMD Ryzen 5 3500U,15.6,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000X-02PX6,8.0,2,0,10126.42406166884,New Egg
2896,nan, Intel Core i5-1135G7,15.6,ASUS,0.0,512.0,https://www.newegg.com/gaia-green-asus-vivobook-s15-s533ea-dh51-gn-mainstream/p/N82E16834235592,8.0,2,1,11231.14495423076,New Egg
2897,nan,contrast ratio1080p,16.0,Visit,0.0,8000.0,https://www.newegg.com/p/1TS-000M-00AP6,16.0,0,1,51000.36060586484,New Egg
2898,nan, Intel Core i5-1135G7,14.0,Visit,0.0,256.0,https://www.newegg.com/dark-gray-asus-vivobook-f-series-mainstream/p/1TS-001A-05BG6,8.0,2,1,9942.30391290852,New Egg
