,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
920, intel xeon e31505m,17.3,64.0,quadro p3000 6gb gpube ,visit,1000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BZ47,2,1,55998.56587484449,new egg
922,xeon e31535m,17.3,16.0,quadro p4000 8gb gpu,visit,2000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BVK1,2,1,83054.76549072747,new egg
923, hexacore i78850h,15.6,8.0,quadro p1000 4gbbe the ,visit,2000.0,1000.0,https://www.newegg.com/black-lenovo-p52-thinkpad/p/1TS-000E-0B2K5,2,1,62045.98711503159,new egg
924,intel e31535m,15.6,8.0,quadro m2200m 4gb,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p51-thinkpad-workstation/p/1TS-000E-06ZR1,2,1,54186.18886708199,new egg
925,xeon e31505m,17.3,64.0,quadro p3000 6gb gpu,visit,2000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BT84,2,1,73382.59023501536,new egg
928, intel xeon e31505m,15.6,8.0,quadro m2200m 4gbbe the,visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p51-thinkpad-workstation/p/1TS-000E-06YC0,2,1,46788.7316925412,new egg
929, intel xeon e31535m,17.3,64.0,quadro p3000 6gb gpu,visit,2000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BR11,2,1,84978.10435610807,new egg
930, intel xeon e31505m,17.3,64.0,quadro p3000 6gbbe the ,visit,512.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0DEN2,2,1,68555.74942862749,new egg
931, intel xeon e31535m,17.3,16.0,quadro p3000 6gb,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BR15,2,1,62767.23918954932,new egg
932,intel i77700h,17.3,16.0,intel i7,visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BKP5,2,1,44421.54539668814,new egg
933, intel xeon e31505m,17.3,16.0,quadro p3000 6gb,visit,2000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BYG7,2,1,60843.90032416871,new egg
934,intel i77700h,17.3,16.0,intel i7,visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BRX0,2,1,53113.55757677358,new egg
935, hexacore i78850h,15.6,32.0,quadro p1000 4gbbe the ,visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p52-thinkpad/p/1TS-000E-0B2S9,2,1,60011.68639203287,new egg
936, intel xeon e31505m,17.3,16.0,quadro p3000 6gb gpube ,visit,2000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BZ28,2,1,55036.89644215418,new egg
937, intel xeon e31505m,17.3,8.0,quadro p3000 6gbbe the ,visit,2000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BZ88,2,1,71459.25136963476,new egg
938, intel xeon e31505m,17.3,16.0,quadro p3000 6gb,visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BSE2,2,1,48286.716770385705,new egg
939, intel xeon e31505m,17.3,16.0,quadro p3000 6gb gpu,visit,1000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BPN7,2,1,56978.72895047114,new egg
940,xeon e31535m,17.3,64.0,quadro p3000 6gb gpu,visit,2000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BV80,2,1,88843.27572980564,new egg
942,xeon e31535m,17.3,8.0,quadro p4000 8gb gpu,visit,500.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTU1,2,1,72420.92080232507,new egg
943,xeon e31505m,17.3,16.0,quadro p3000 6gb,visit,2000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTC6,2,1,82074.6024151008,new egg
944, intel xeon e31505m,17.3,16.0,quadro p3000 6gb,visit,2000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BSP2,2,1,77247.76160871294,new egg
945, intel xeon e31535m,17.3,64.0,quadro p3000 6gb,visit,2000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BNJ7,2,1,95611.94904451047,new egg
946, intel xeon e31505m,17.3,8.0,quadro p3000 6gb,visit,2000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BSD8,2,1,56978.72895047114,new egg
947,xeon e31505m,17.3,16.0,quadro p3000 6gb gpu,visit,500.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BT52,2,1,56978.72895047114,new egg
948, intel xeon e31505m,17.3,16.0,quadro p3000 6gb gpube ,visit,500.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BY43,2,1,50210.05563576632,new egg
949,intel i77700h,17.3,8.0,intel i7,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BRW0,2,1,47306.55369475904,new egg
950,xeon e31505m,17.3,16.0,quadro p3000 6gb gpu,visit,1000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BUW1,2,1,56978.72895047114,new egg
951,intel xeon e31535m,17.3,16.0,quadro p3000 6gb,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BR33,2,1,63728.90862223962,new egg
952,xeon e31505m,17.3,64.0,quadro p3000 6gb gpu,visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BUY6,2,1,70497.58193694445,new egg
953,xeon e31535m,17.3,16.0,quadro p3000 6gb gpu,visit,1000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTG0,2,1,62767.23918954932,new egg
954, intel xeon e31535m,17.3,16.0,quadro p3000 6gb gpu,visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BN92,2,1,56978.72895047114,new egg
955, intel xeon e31505m,17.3,32.0,quadro p3000 6gbbe the ,visit,512.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BZ99,2,1,55036.89644215418,new egg
956, intel xeon e31505m,17.3,64.0,quadro p3000 6gb gpube ,visit,500.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BY71,2,1,65670.74113055659,new egg
957,xeon e31535m,17.3,32.0,quadro p3000 6gb gpu,visit,1000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BV64,2,1,74362.75331064203,new egg
958,xeon e31535m,17.3,64.0,quadro p3000 6gb,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BVB6,2,1,84016.43492341776,new egg
960,intel i77700h,17.3,8.0,intel i7,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BRY4,2,1,48286.716770385705,new egg
961,xeon e31535m,17.3,32.0,quadro p4000 8gb gpu,visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTW4,2,1,74362.75331064203,new egg
962, intel xeon e31505m,17.3,32.0,quadro p3000 6gb,visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BSF8,2,1,54075.22700946388,new egg
